strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,16,3,19,0,1150,100,0
Flat100,none,any,10,14,2,14,0,1150,100,0
Flat100,none,any,15,69,37,54,1142,912,100,0
Flat100,none,any,20,15,3,20,0,1000,100,0
Flat100,none,any,25,29,16,55,1344,606,100,0
Flat100,none,any,30,9,3,33,1041,300,100,0
Flat100,none,any,35,4,2,50,1121,100,100,0
Flat100,none,any,40,3,2,67,1221,100,100,0
Flat100,none,any,45,3,2,67,1221,100,100,0
Flat100,none,any,50,1,1,100,1210,0,100,0
Flat100,none,any,75,0,0,0,1000,0,0,0
Flat100,none,underdog,5,84,38,45,2106,800,100,0
Flat100,none,underdog,10,52,27,52,2558,500,100,0
Flat100,none,underdog,15,33,16,48,1710,400,100,0
Flat100,none,underdog,20,21,12,57,1991,415,100,0
Flat100,none,underdog,25,14,8,57,1725,200,100,0
Flat100,none,underdog,30,4,3,75,1541,100,100,0
Flat100,none,underdog,35,3,2,67,1221,100,100,0
Flat100,none,underdog,40,3,2,67,1221,100,100,0
Flat100,none,underdog,45,3,2,67,1221,100,100,0
Flat100,none,underdog,50,1,1,100,1210,0,100,0
Flat100,none,underdog,75,0,0,0,1000,0,0,0
Flat100,none,favorite,5,41,21,51,0,1050,100,0
Flat100,none,favorite,10,25,10,40,0,1000,100,0
Flat100,none,favorite,15,18,6,33,0,1000,100,0
Flat100,none,favorite,20,22,12,55,505,790,100,0
Flat100,none,favorite,25,15,8,53,619,609,100,0
Flat100,none,favorite,30,5,0,0,500,500,100,0
Flat100,none,favorite,35,1,0,0,900,100,100,0
Flat100,none,favorite,40,0,0,0,1000,0,0,0
Flat100,none,favorite,45,0,0,0,1000,0,0,0
Flat100,none,favorite,50,0,0,0,1000,0,0,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,47,27,57,1402,509,100,0
Flat100,4+4-,any,10,26,17,65,1537,333,100,0
